indice_tiempo,salas,espectadores,espectadores_sala
2017-01-01,359.0,2329863.0,6489.868111515794
2017-02-01,359.0,2667173.0,7429.4515041442
2017-03-01,357.0,2234439.0,6258.931970356383
2017-04-01,357.0,2933938.0,8218.313957096581
2017-05-01,357.0,1768555.0,4953.935805836076
2017-06-01,359.0,1671131.0,4654.960883548463
2017-07-01,364.0,4137585.0,11366.991182991
2017-08-01,366.0,2023630.0,5529.044357213601
2017-09-01,366.0,1903367.0,5200.45710939187
2017-10-01,364.0,1440432.0,3957.230585796953
2017-11-01,366.0,1283286.0,3506.244665176265
2017-12-01,366.0,1213250.0,3314.889764352521
2018-01-01,371.0,2325680.0,6268.678243042645
2018-02-01,371.0,2072380.0,5585.929229554346
2018-03-01,371.0,1337591.0,3605.3654122117296
2018-04-01,370.0,1787392.0,4830.787865564538
2018-05-01,370.0,2016959.0,5451.240150914436
2018-06-01,370.0,2178130.0,5886.837699937249
2018-07-01,370.0,4051218.0,10949.238392236542
2018-08-01,370.0,2020718.0,5461.399358720542
2018-09-01,365.0,1650443.0,4521.761251615382
2018-10-01,371.0,1315086.0,3544.7070267843346
2018-11-01,376.0,1459079.0,3880.529244574102
2018-12-01,376.0,1243964.0,3308.4136560325883
2019-01-01,376.0,2261760.0,6015.3204687972175
2019-02-01,376.0,1369271.0,3641.678012982218
2019-03-01,374.0,1551534.0,4148.48746655272
2019-04-01,374.0,2152113.0,5754.312883859911
2019-05-01,374.0,2159496.0,5774.053431918177
2019-06-01,378.0,3050594.0,8070.355101248551
2019-07-01,379.0,4230055.0,11161.094102855679
2019-08-01,379.0,2235115.0,5897.401055408971
2019-09-01,379.0,1749318.0,4615.614332840491
2019-10-01,379.0,2205604.0,5819.535029539302
2019-11-01,380.0,1473026.0,3876.3842105263157
2019-12-01,384.0,1031951.0,2687.3723958333335
2020-01-01,382.0,2298593.0,6017.0
2020-02-01,384.0,1971647.0,5134.0
2020-03-01,384.0,796221.0,2073.0
2020-04-01,384.0,0.0,0.0
2020-05-01,384.0,0.0,0.0
2020-06-01,384.0,0.0,0.0
2020-07-01,384.0,0.0,0.0
2020-08-01,384.0,0.0,0.0
2020-09-01,384.0,0.0,0.0
2020-10-01,384.0,0.0,0.0
2020-11-01,384.0,0.0,0.0
2020-12-01,384.0,0.0,0.0
2021-01-01,384.0,10631.0,
2021-02-01,384.0,19025.0,
2021-03-01,384.0,405123.0,
2021-04-01,384.0,354309.0,
2021-05-01,384.0,59042.0,
2021-06-01,384.0,1133648.0,
2021-07-01,375.0,1306282.0,
2021-08-01,375.0,902494.0,
2021-09-01,375.0,633559.0,
2021-10-01,375.0,909676.0,
